#n_{sat}	#E_{sat}	#K_{sat}	#J_{sym}	#L_{sym}	#m^*/m
0.162682	-16.188520	243.298340	33.656048	58.616364	0.709699
0.151637	-15.813856	221.787582	32.673889	54.722569	0.718376
0.145161	-16.144678	244.412292	31.904037	47.771351	0.713349
0.154115	-16.024555	271.997345	31.008486	48.864330	0.709681
0.142493	-16.122149	265.038391	33.194546	56.908066	0.720421
0.151317	-16.166922	281.203522	32.446342	62.417103	0.668519
0.168449	-15.930607	294.769287	31.186481	53.797897	0.650427
0.163975	-16.187546	224.949020	32.663624	54.553490	0.597915
0.150710	-16.130196	212.207321	32.952126	51.050034	0.704220
0.162371	-16.150433	238.566147	33.968128	63.224339	0.613267
0.154796	-15.857159	226.534988	30.702629	42.110432	0.715498
0.167037	-15.905299	246.150131	32.795265	52.388577	0.690306
0.167543	-15.938230	256.587189	33.181015	55.511044	0.673041
0.167047	-16.199732	297.364899	33.285847	53.351189	0.690570
0.162050	-15.977422	203.684418	33.337360	54.453857	0.615397
0.153665	-15.825103	238.700180	33.697571	54.261215	0.731678
0.162892	-15.890094	286.411530	32.728699	49.285954	0.725448
0.140785	-15.893841	240.596252	30.391941	47.855301	0.731918
0.168153	-16.006952	277.392456	32.293221	59.333618	0.724541
0.150249	-16.052626	278.196686	33.291332	59.479744	0.714619
0.157247	-16.159975	262.078552	29.317797	41.478012	0.668032
0.149251	-16.053289	272.105865	28.695097	42.710136	0.704671
0.156731	-16.133461	206.966599	33.215809	63.498142	0.646374
0.153557	-15.897390	242.189850	33.103008	62.013260	0.740137
0.158937	-16.133478	229.596588	33.491302	64.251877	0.736524
0.155510	-15.900558	268.272247	31.169983	45.070889	0.727769
0.156574	-16.061552	279.115479	31.420010	43.934830	0.735036
0.166456	-16.055000	265.198578	31.616932	53.275349	0.714231
0.166188	-16.159645	274.513702	32.936325	57.475063	0.708887
0.143795	-16.173512	282.221741	30.530478	46.367516	0.708579
0.158184	-15.895422	226.254059	29.883348	40.167427	0.728263
0.167686	-15.916007	273.959106	33.537308	67.785591	0.661005
0.166459	-15.824180	270.996765	31.996622	52.673389	0.650350
0.166999	-16.186440	277.110352	33.867256	65.319191	0.691557
0.147882	-16.137516	224.611557	32.593109	53.504467	0.731653
0.142470	-15.977569	267.447968	29.711929	47.381611	0.696265
0.167703	-15.874967	280.317291	33.491486	61.376995	0.669930
0.143243	-15.887881	296.468079	31.935778	52.050846	0.720809
0.155011	-15.902127	253.319901	32.082737	48.978626	0.670859
0.161062	-16.044401	242.083115	33.956985	57.960957	0.700500
0.151799	-16.000021	288.930298	32.463657	61.534439	0.708196
0.167007	-16.127316	224.527420	33.018570	50.567757	0.636688
0.161473	-16.140587	203.971573	33.823421	52.626968	0.725596
0.147686	-16.114008	269.964722	31.942286	59.459076	0.677979
0.160050	-16.143383	284.777863	33.587223	55.676674	0.723013
0.169549	-15.952667	293.166718	31.788963	51.550926	0.702651
0.143236	-15.803763	263.640869	29.682158	40.859131	0.733434
0.156524	-15.887665	255.710022	32.973858	61.591686	0.694169
0.163471	-16.174921	267.937836	32.155827	50.065929	0.656099
0.149135	-15.843918	268.845245	29.431749	44.351517	0.677973
0.159680	-16.123526	298.492126	33.278717	50.531246	0.744268
0.169267	-16.087029	238.845413	33.990669	63.646397	0.637479
0.145761	-16.123613	295.754913	30.773205	45.504578	0.734163
0.157863	-16.041418	251.040207	32.220657	43.710693	0.737409
0.166207	-15.882607	258.035614	33.340816	60.403404	0.665447
0.140748	-15.845210	285.343323	31.692915	59.503330	0.727467
0.148233	-15.837034	274.186188	30.746946	50.354279	0.674238
0.156564	-16.051933	289.268005	32.803520	54.110977	0.720935
0.158398	-16.037931	246.640289	31.526278	49.448971	0.617711
0.145436	-16.055338	237.234772	30.869932	41.879215	0.725839
0.163481	-15.899623	210.565674	30.270031	47.768616	0.614105
0.155664	-15.847122	208.170837	31.004011	47.345211	0.638664
0.152313	-16.126905	292.063354	33.602428	57.220135	0.717396
0.158534	-15.991152	242.344711	31.300138	47.437378	0.728697
0.169904	-15.875045	285.058289	32.023712	59.393917	0.689576
0.160683	-16.084295	214.932800	31.873291	52.055801	0.691553
0.159509	-15.983464	268.958466	30.664692	46.501179	0.745502
0.169713	-15.896698	200.618057	33.859154	56.129025	0.693262
0.143552	-16.150454	245.474457	32.455780	46.766342	0.719916
0.167563	-15.964548	222.375305	32.584476	53.317589	0.673017
0.143902	-15.968099	245.691650	32.818802	49.743782	0.736428
0.161839	-16.019608	291.278687	32.245827	52.067505	0.679131
0.168337	-16.177624	274.119293	30.290533	50.949417	0.599820
0.161525	-16.044498	283.189941	31.735384	52.673149	0.698453
0.147953	-16.042088	233.091232	33.151558	60.584919	0.742454
0.166661	-16.094076	208.112366	31.784494	45.379196	0.646740
0.145492	-15.893234	290.008209	30.714973	54.796112	0.709293
0.165331	-16.057518	258.399506	30.983095	45.107792	0.725201
0.145462	-15.890820	261.369232	30.262676	45.359406	0.733108
0.166013	-15.968165	258.018585	31.325813	50.724220	0.686288
0.165561	-16.020109	224.010773	32.192486	48.825924	0.631372
0.159062	-15.824054	279.510742	31.288677	53.473961	0.666551
0.160294	-16.088085	246.045288	31.601254	45.652454	0.684364
0.160457	-16.167082	240.106567	29.888298	43.010967	0.690934
0.167912	-15.800142	278.408112	33.753464	53.362598	0.678146
0.162791	-15.974703	203.261108	32.739910	51.734882	0.720066
0.160461	-15.803430	278.635437	30.802250	50.222225	0.662637
0.140913	-16.169147	259.728729	29.966114	47.766815	0.717259
0.153678	-15.917006	250.741241	29.447819	43.729336	0.704507
0.158695	-16.034832	292.380707	30.256586	44.356514	0.640345
0.159589	-15.883308	278.473724	31.818357	42.946609	0.718515
0.165637	-16.158091	279.059906	33.117508	51.489967	0.675341
0.147587	-16.174219	289.188660	33.596691	54.981686	0.745422
0.144113	-16.091640	253.843002	32.404121	59.657200	0.684453
0.140090	-15.838681	231.621933	31.516647	52.743168	0.746593
0.162031	-15.800019	242.398392	30.198341	40.750538	0.679893
0.161838	-15.810212	269.412262	30.416430	44.120113	0.681596
0.145962	-15.991193	287.649902	31.129374	50.747261	0.739146
0.147216	-16.154425	258.798431	33.713943	59.423332	0.715223
0.167754	-16.177858	284.848694	32.527966	57.562447	0.624589
0.157318	-16.010555	293.485687	33.705826	68.139236	0.738552
0.143531	-15.809183	256.648956	30.729939	54.860256	0.726032
0.146385	-16.168596	243.000671	33.187954	55.987610	0.670121
0.165347	-15.879396	260.098846	33.968452	62.443317	0.691504
0.151860	-16.069687	290.630859	30.343731	42.306473	0.692607
0.168564	-15.885188	292.791718	31.850655	54.281746	0.735490
0.163460	-15.978507	264.233368	31.479469	54.512138	0.718308
0.146515	-16.081310	244.451187	33.710049	62.947048	0.749824
0.140579	-15.850536	292.170685	30.515932	53.063717	0.742734
