#n_{sat}	#E_{sat}	#K_{sat}	#J_{sym}	#L_{sym}	#m^*/m
0.145045	-16.085808	214.883179	32.739456	60.266640	0.725131
0.162420	-15.853688	200.976440	33.016777	57.595390	0.656300
0.154333	-16.080479	221.517532	33.961872	58.796494	0.697230
0.161495	-15.805806	201.661819	32.138386	57.928646	0.666297
0.161341	-16.177778	219.766876	33.391533	61.834679	0.707776
0.148450	-16.131111	235.703842	33.531380	66.616005	0.728903
0.167621	-15.956264	208.859497	33.917084	63.259762	0.665800
0.161253	-16.179665	217.833344	33.873901	61.092480	0.689635
0.155531	-16.120029	208.548019	32.859440	56.188789	0.661544
0.154784	-16.110502	213.619034	32.709713	57.581913	0.703624
0.157345	-16.101112	221.325455	33.952286	66.441017	0.719792
0.169169	-16.102308	205.469940	33.323341	57.414051	0.702352
0.160534	-15.987762	203.603500	33.718792	62.939491	0.685602
0.157112	-16.005320	214.913330	32.771736	57.556614	0.704023
0.151340	-15.819356	210.362350	33.330006	67.148605	0.710389
0.156906	-16.024792	213.245117	33.083748	60.581997	0.709070
0.158604	-16.067900	215.539368	33.511299	59.224438	0.711542
0.161842	-15.814733	215.348999	33.860470	58.990784	0.714731
0.152043	-16.142017	200.577576	33.275467	65.437187	0.659018
0.146261	-15.820491	217.502747	33.192711	62.120785	0.722610
0.166375	-15.825849	211.151627	32.120949	57.281334	0.669488
0.157216	-16.099731	207.951065	33.460960	56.042141	0.677467
0.153386	-16.149315	217.642426	33.890755	65.431084	0.733396
0.161682	-15.891164	207.896667	32.286133	57.036366	0.688945
0.142172	-16.028183	200.919281	33.102844	59.938938	0.721704
0.157153	-16.183294	220.204056	33.904987	60.703014	0.696090
0.159212	-16.137098	212.736633	32.913704	55.657494	0.672659
0.158661	-15.835546	226.518555	33.497910	63.230110	0.725130
0.142431	-16.149916	205.403305	33.062496	65.598640	0.714806
0.159638	-16.174189	230.261215	33.481060	60.086914	0.701656
0.151201	-16.053047	223.901962	32.694790	62.874474	0.683681
